Estado,Ciudad,Longitud,Latitud
Chiapas,Chiapilla,-92.431209,16.3413775
Chiapas,ChicoasÃ©n,-93.0618846,16.5802118
Chiapas,Chicomuselo,-92.1659834,15.444177
Chiapas,ChilÃ³n,-92.1617502,17.0619769
Chiapas,Escuintla,-92.393081,15.190937
Chiapas,Francisco LeÃ³n,-93.1834407,17.2100635
Chiapas,Frontera Comalapa,-92.082778,15.393659
Chiapas,Frontera Hidalgo,-92.103354,14.4640215
Chiapas,La Grandeza,-92.1333168,15.3036469
Chiapas,HuehuetÃ¡n,-92.2303051,15.0106671
Chiapas,HuixtÃ¡n,-92.2716549,16.4243742
Chiapas,HuitiupÃ¡n,-92.4109355,17.1023634
Chiapas,Huixtla,-92.2756944,15.0817839
Chiapas,La Independencia,-92.0125828,16.1514946
Chiapas,IxhuatÃ¡n,-93.0030175,17.1735775
Chiapas,IxtacomitÃ¡n,-93.0547661,17.2550862
Chiapas,Ixtapa,-92.542125,16.4812691
Chiapas,Ixtapangajoya,-93.0005997,17.295114
Chiapas,Jiquipilas,-93.3901711,16.4003797
Chiapas,Jitotol,-92.514441,17.0404683
Chiapas,JuÃ¡rez,-93.1135991,17.3629344
Chiapas,LarrÃ¡inzar,-92.424773,16.5304006
Chiapas,La Libertad,-91.4308624,17.4124491
Chiapas,Mapastepec,-92.5329781,15.2628083
Chiapas,Las Margaritas,-91.5853646,16.185741
Chiapas,Mazapa de Madero,-92.1115845,15.2316677
Chiapas,MazatÃ¡n,-92.2658095,14.5146891
Chiapas,Metapa,-92.1127401,14.5014331
Chiapas,Mitontic,-92.3746745,16.5152095
Chiapas,Motozintla,-92.145188,15.2147402
Chiapas,NicolÃ¡s RuÃ­z,-92.350725,16.2613463
Chiapas,Ocosingo,-92.0544976,16.5428938
Chiapas,Ocotepec,-93.0951859,17.1330105
Chiapas,Ocozocoautla de Espinosa,-93.2232349,16.4541263
Chiapas,OstuacÃ¡n,-93.2013691,17.2420128
Chiapas,Osumacinta,-93.0528814,16.5607681
Chiapas,Oxchuc,-92.20057,16.471003
Chiapas,Palenque,-91.585172,17.303288
